ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
805,Sarkozy comfort zone offers a royal opportunity,other,present,positive,neut,neut,joy
806,"Hicks first in line for trial, Bush says",other,na,neut,na,neut,fear
807,Australia tells Bush to speed up Guantanamo trial,other,present,neut,neut,neut,surprise
808,Howard presses Bush on terror suspect,other,na,negative,na,na,fear
809,France ends toxic alert at Canadian embassy in Paris,other,present,negative,negative,negative,fear
810,Paris police investigate package at Canadian embassy,other,present,neut,neut,neut,fear
811,False alarm at Canadian embassy in Paris,other,present,negative,negative,na,fear
812,Afghan forces retake town that was overrun by Taliban,other,present,negative,negative,negative,joy
813,Taliban seize rural district in southwest as police flee,other,present,negative,neut,neut,fear
814,Afghan poppy war alienates farmers,other,present,negative,neut,negative,sadness
815,Will North Korea honor pledge this time?,other,present,positive,neut,positive,joy
816,Kim Jong-il bans Japanese cars in North Korea,other,present,neut,neut,neut,surprise
817,Iran vs. North Korea: not all enemies are equal,other,na,negative,na,na,anger
818,Catholic archbishop outlines Anglican merger hopes,other,present,neut,neut,neut,joy
819,Anglican and Catholic churches could merge,other,na,neut,na,neut,joy
820,US helicopter crash kills 8 troops in Afghanistan,other,present,negative,neut,negative,sadness
821,Eight US soldiers killed in Zabul helicopter crash,other,na,negative,na,negative,sadness
822,Arroyo lauds passage of anti-terror bill,other,present,neut,neut,positive,joy
823,House passes anti-terrorism measure Manila,other,present,neut,neut,neut,joy
824,Livingstone's transport empire may extend,other,na,neut,na,neut,joy
825,"London is pace-setter on congestion toll, says mayor",other,na,negative,na,neut,joy
826,Protest greets congestion charge's westward push,other,na,negative,na,na,anger
827,"Thailand attacks kill three, injure 70",other,present,negative,neut,negative,sadness
828,Thai Govt moves to smooth over relations with south,other,present,positive,neut,positive,joy
829,Bombings say Muslim rebels won't negotiate,other,na,neut,na,neut,fear
830,Roots of autism more complex than thought,other,na,negative,na,na,surprise
831,Largest ever autism study identifies two genetic culprits,other,present,negative,negative,negative,surprise
832,Canadian breakthrough offers hope on autism,other,na,positive,na,neut,joy
833,Beware of peanut butter pathogens,other,na,neut,na,na,fear
834,Experts offer advice on salmonella,other,na,neut,na,na,joy
835,Experts issue new heart disease guidelines for women,other,na,negative,na,na,joy
836,"For women, aspirin a day could keep stroke away",other,present,neut,neut,neut,joy
837,High cholesterol raises stroke risk healthy women,other,na,positive,na,na,fear
838,Cooked chicken breasts join tainted-food recalls,other,present,neut,neut,neut,fear
839,Ready to eat chicken breasts recalled due to suspected listeria,other,na,negative,na,negative,fear
840,Fully-cooked chicken strips recalled ,other,na,neut,na,neut,surprise
841,Committee debates cancer vaccine plan,other,na,negative,na,na,surprise
842,Stop cancer with a shot,other,present,negative,negative,na,joy
843,1 mln birds to be vaccinated from bird flu near Moscow,other,na,neut,na,na,joy
844,Thousands tested after Russian H5N1 outbreak,other,na,negative,na,negative,fear
845,"Russian bird flu outbreak is deadly ""Asian strain""",other,na,negative,na,negative,fear
846,Bernard Matthews to lay off up to 500 workers,other,na,neut,na,neut,sadness
847,Matthews lays off 130 turkey workers,other,present,neut,neut,neut,sadness
848,Reopening bird flu-hitfactory ignores risks - poultryman,other,na,negative,na,na,fear
849,Goodbye to girlhood,other,na,neut,na,na,sadness
850,Media cited for showing girls as sex objects,other,present,negative,neut,neut,anger
851,Sexualisation 'harms' young girls,other,na,neut,na,na,anger
852,A shot in the arm,other,na,neut,na,na,fear
853,Thousands line up to get late flu shots,other,present,neut,neut,neut,fear
854,King county offering some free flu vaccines,other,na,positive,na,na,joy
855,Bush vows cooperation on health care,other,present,neut,neut,neut,joy
856,Health returns as hot issue in '08 race,other,na,positive,na,na,joy
857,Small-business owners find Bush health plan appealing,other,na,positive,na,positive,joy
858,Pediatricians say more cord blood is needed now,other,present,neut,neut,neut,fear
859,Whether to save cord blood can be puzzle for parents,other,present,neut,neut,na,surprise
860,Retinal implant helping blind people see again,other,present,negative,negative,negative,joy
861,"Indonesia ""will not share"" flu samples",other,present,neut,neut,neut,surprise
862,Health Canada issues advice on canned tuna,other,present,negative,neut,negative,fear
863,Cholesterol link in diabetes study,other,present,neut,neut,na,sadness
864,Pig cells hope for diabetes cure,other,na,positive,na,positive,surprise
865,Sick hearts switch on a fetal gene,other,na,neut,na,neut,surprise
866,Foetal mechanism helps heart failure,other,present,negative,negative,negative,surprise
867,"Planned cesareans not risk-free, group warns",other,na,positive,na,positive,fear
868,Scientists tout cocoa's health benefits,other,present,positive,positive,na,joy
869,Feeding your brain: new benefits found in chocolate,other,present,positive,neut,na,joy
870,Some cocoa may improve brain blood flow,other,present,positive,neut,positive,joy
871,Lawyer for deceased Nazi-era collaborator Papon vows to bury him ,other,present,neut,neut,neut,anger
872,"Cocoa could be antidote to age-related diseases, says new study",other,na,neut,na,neut,joy
873,China denies reports of North Korean apology,other,present,negative,neut,negative,surprise
874,Hungarian opposition calls for vote after violence escalates,other,na,negative,na,neut,anger
875,AU regrets Sudan's expulsion of UN envoy ,other,present,negative,neut,negative,sadness
876,Bush officials: no big move in Iraq plan ,other,na,neut,na,na,fear
877,Opponent is put on the spot over remarks about Clinton,other,na,neut,na,na,surprise
878,House ethics panel talks to Hastert aide,other,na,neut,na,na,joy
879,BellSouth says profit rises 30% on cingular earnings,other,present,neut,neut,neut,joy
880,Enron boss gets 24-year sentence,other,present,neut,neut,neut,sadness
881,Sony apologizes for battery recall,other,na,neut,na,neut,joy
882,Google unveils do-it-yourself search engine,other,present,neut,neut,neut,joy
883,Firefox 2.0 hits the Web,other,present,neut,neut,neut,joy
884,Oracle World opens with Dell unveiling AMD-powered computers,other,present,neut,neut,neut,joy
885,Seahawks' QB Hasselbeck out 2-4 weeks,other,na,neut,na,na,sadness
886,Marathon winner released from hospital ,other,na,positive,na,neut,joy
887,Punter charged with stabbing asks to live outside state,other,present,negative,neut,neut,anger
888,Allmendinger joining Toyota team in NASCAR ,other,present,neut,neut,na,joy
889,Trying to assess the damage in Cleveland ,other,present,negative,negative,na,sadness
890,Bryant's boot may have salvaged Bucs' season,other,past,neut,neut,neut,joy
891,This week in auto racing October 27 - October 29,other,na,neut,na,na,joy
892,Merriman violation stuns ex-teammate,other,na,negative,na,na,surprise
893,Bruce revells in upset,other,na,negative,na,negative,anger
894,Steelers' Roethlisberger has concussion,other,na,neut,na,neut,sadness
895,Arthurs upsets Robredo in first round at the St. Petersburg Open,other,na,negative,na,na,surprise
896,Mbeki: 2010 World Cup Planning on Track,other,na,neut,na,na,joy
897,Clinical Everton show Moyes means business,other,present,neut,neut,neut,joy
898,MS Adds Office 2007 to Vista Coupon Program,other,present,neut,neut,neut,joy
899,One search does not fit all,other,present,neut,neut,neut,surprise
900,Apple's dark secret? The 39% claim,other,na,negative,na,na,surprise
901,Bad weather cancels men's downhill,other,na,negative,na,negative,sadness
902,Cool millions for YouTube founders,other,present,neut,neut,na,joy
903,"London market a shopping, dining haven",other,na,negative,na,na,joy
904,'Jackass' star marries childhood friend The secrets people reveal,other,na,neut,na,neut,joy
905,Audio Slide Show: A love story lasting 61 years,other,na,positive,na,na,joy
906,Microsoft to release next generation phone,other,present,neut,neut,na,joy
907,Body Shop's Roddick has Hepatitis C,other,present,neut,neut,neut,sadness
908,Teen allegedly armed by mom turns self in,other,present,neut,neut,neut,fear
909,Oxfam: action needed for Chad,other,na,neut,na,na,joy
910,Violence continues at disputed holy site,other,na,positive,na,positive,sadness
911,Storm leaves behind major travel troubles,other,na,negative,na,negative,sadness
912,3 U.S. troops killed hunting weapons cache,other,past,negative,neut,negative,sadness
913,China's 'Friends' highlights Web freedoms,other,present,positive,positive,positive,joy
914,NATO: Afghanistan peace 'by 2009',other,na,positive,na,na,joy
915,Alaska's northern lights captivate Japanese,other,na,positive,na,positive,joy
916,Smith can't be buried until hearing,other,na,neut,na,na,sadness
917,Spacewalker sets new U.S. record,other,present,neut,neut,neut,joy
918,Fortune: India the Superpower? Think again,other,na,neut,na,neut,surprise
919,Kerry blasts 'escalation of misguided war',other,na,negative,na,na,anger
920,Anna Nicole claimant: A prince of a guy?,other,na,neut,na,na,surprise
921,'Ronnie' and Eto'o hug and make up,other,na,positive,na,positive,joy
922,Best of the Chicago Auto Show,other,na,neut,na,na,joy
923,"'Grey's,' 'Betty,' 'Scrubs' get boost",other,na,positive,na,positive,joy
924,Massive mud traps dozens of families,other,na,negative,na,na,sadness
925,"Edwards blogger quits, becomes journalistic martyr",other,na,neut,na,neut,surprise
926,Town packs gym to mourn 10 killed in fire,other,present,negative,neut,neut,sadness
927,Spain ahead although Nadal is out,other,na,neut,na,na,joy
928,ECB holds rates at 3.5 percent,other,present,neut,neut,neut,joy
929,Iran rejects US claims of supplying weapons in Iraq,other,present,negative,neut,negative,fear
930,Jakarta begins disinfection,other,present,neut,neut,neut,joy
931,"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end",other,na,neut,na,na,sadness
932,Apple revs up Mac attacks on Vista,other,present,negative,negative,negative,disgust
933,Fear hinders black marrow donation,other,present,neut,neut,negative,fear
934,Texan allegedly joined Somalia rebel plot,other,na,negative,na,neut,anger
935,"U.S. to allow 7,000 Iraqi refugees",other,present,neut,neut,na,joy
936,Japan: Whaling activists 'terrorists',other,na,neut,na,na,fear
937,'Hannibal' bites the big one,other,na,neut,na,neut,surprise
938,Women protest Pakistan demolition,other,na,negative,na,na,anger
939,Wii news for gamers,other,na,neut,na,na,joy
940,Democrats look beyond symbolic vote on Iraq,other,na,neut,na,neut,joy
941,Portugal to vote on abortion laws,other,na,neut,na,na,surprise
942,Frustration rises as North Korea nuclear talks stall,other,na,negative,na,negative,fear
943,Horse teeth give details of ancient big chill,other,present,negative,negative,negative,surprise
944,Scam lures victims with free puppy offer,other,present,positive,neut,negative,surprise
945,Two Koreas to resume talks,other,present,neut,neut,na,joy
946,Mickelson driving force at masters,other,present,positive,positive,na,joy
947,England opt for Bopara over Loye,other,na,neut,na,neut,joy
948,Create own 'Thrillville' for a wild ride,other,present,negative,neut,na,joy
949,Edwards' campaign blogger quits amid Catholic controversy,other,na,negative,na,negative,surprise
950,Judge: Preserve Anna Nicole's body,other,na,neut,na,na,sadness
951,"Dolphins, sea lions may report for duty soon",other,na,neut,na,neut,joy
952,Nasdaq-LSE battle nears deadline,other,present,neut,neut,neut,fear
953,A personal plea for HPV vaccine plan,other,na,negative,na,na,joy
954,U.S. opens door for Iraqi refugees,other,present,neut,neut,neut,joy
955,Swiss plane crashes at Moscow airport,other,na,negative,na,na,sadness
956,Study: napping might help heart,other,present,neut,neut,neut,joy
957,MySpace sales surging,other,present,neut,neut,na,joy
958,"Telecoms giant slashes 12,500 jobs",other,na,neut,na,na,sadness
959,Air France KLM profit rises,other,na,neut,na,na,joy
960,Uganda parliament votes to send troops to Somalia,other,present,neut,neut,neut,fear
961,King and queen reign at British film awards,other,na,positive,na,na,joy
962,Murphys rule box office with 'Norbit',other,na,neut,na,na,joy
963,Thousands rally in Lebanon,other,na,neut,na,na,fear
964,Yahoo's mission quest,other,na,neut,na,na,joy
965,Area should get 3-5 inches of snow today,other,present,neut,neut,neut,joy
966,Miss Brazil wins lawsuit competition,other,present,positive,neut,positive,joy
967,"Snow wreaks havoc in East, Midwest",other,past,negative,negative,negative,sadness
968,The secrets people reveal,other,na,neut,na,neut,surprise
969,Research supports medicinal marijuana,other,present,positive,neut,positive,surprise
970,All African amputee football games kick off,other,na,neut,na,neut,joy
971,Group: Video shows chopper go down,other,na,neut,na,neut,sadness
972,Sale of Chrysler possible,other,na,neut,na,na,joy
973,Russia condemns terrorist acts on buses outside Beirut,other,present,negative,neut,negative,sadness
974,Technology may save India's river dolphins,other,present,neut,neut,neut,joy
975,Airbus A380 superjumbo takes off,other,na,neut,na,neut,joy
976,Naps are great for chaps,other,na,positive,na,na,joy
977,Female astronaut sets record,other,present,neut,neut,neut,joy
978,Corn stoves popping up in U.S. homes,other,na,neut,na,neut,surprise
979,Iraq closes borders with Syria and Iran,other,present,neut,neut,neut,sadness
980,The troubling ending of 'The Departed',other,na,negative,na,na,sadness
981,Vietnamese bank plans IPO listing,other,present,neut,neut,neut,joy
982,Toyota's Scion parks in Second Life,other,na,neut,na,na,surprise
983,Obama will run in 2008,other,na,neut,na,neut,joy
984,'Cagney and Lacey' finally coming to DVD,other,na,neut,na,na,joy
985,Merkel: Stop Iran,other,na,neut,na,na,fear
986,Salt Lake City mall shooter was teenager,other,na,neut,na,na,sadness
987,Female astronaut sets record,other,present,neut,neut,neut,joy
988,Oil holds at $58,other,na,neut,na,neut,joy
989,Obama announces presidential bid,other,present,neut,neut,neut,joy
990,Tell your boss: Naps are good for you,other,present,positive,positive,na,joy
991,Serbia rejects United Nation's Kosovo plan,other,present,negative,neut,negative,anger
992,Amish discuss shootings,other,na,neut,na,na,sadness
993,"Jail me, I ate Ivory Coast chocolate",self,present,neut,neut,neut,surprise
994,Can North Korea be trusted?,other,na,positive,na,na,fear
995,Tourism lags in Bush's hometown,other,na,negative,na,negative,sadness
996,Astronaut's arrest tests NASA's mettle,other,present,neut,neut,neut,surprise
997,Man gets second chance at space ride,other,present,neut,neut,neut,joy
998,"Go ahead, take a nap, science says",other,present,neut,neut,neut,surprise
999,Weekly Nielsen will 'Lost' find its way back?,other,present,neut,neut,neut,joy
1000,Brith Airways baggage charges cause confusion,other,na,negative,na,na,surprise
1001,Indonesian with bird flu dies,other,na,neut,na,negative,sadness
1002,St. Louis poised for entertainment upswing,other,na,positive,na,positive,joy
1003,New York City may ban iPods while crossing street,other,present,neut,neut,neut,surprise
1004,Boy allegedly told to kill by mom gives up,other,na,negative,na,neut,sadness
1005,Gray wolves off endangered list,other,na,negative,na,na,joy
1006,Vista's hyped security will be tested,other,na,neut,na,na,joy
1007,UK police slammed over terror raid,other,na,negative,na,negative,fear
1008,Mogadishu residents flee blasts,other,present,negative,neut,negative,fear
1009,Bomb kills 18 on military bus in Iran,other,present,negative,neut,negative,sadness
1010,"'WarioWare,' Wii make perfect fit",other,present,positive,positive,positive,joy
1011,U.S. at odds with cleric's aide,other,na,neut,na,na,fear
1012,Desperate Iraqi mother relies on militia for help,other,na,neut,na,neut,sadness
1013,Full details of the EU report on Iran,other,na,neut,na,na,surprise
1014,Singer on Cowell: Glad he was mean,other,na,neut,na,neut,joy
1015,Jones faces Europe meetings snub,other,na,negative,na,negative,sadness
1016,Beckham goal helps Real snatch win,other,na,positive,na,positive,joy
1017,Guinea: Plan offices close as country declares emergency,other,present,negative,negative,negative,fear
1018,Japan's economy grows,other,na,neut,na,neut,joy
1019,United Nations peacekeepers raid Haitian slum,other,na,neut,na,na,joy
1020,Work starts on Arctic seed vault,other,present,neut,neut,na,joy
1021,Social networking goes mobile,other,na,neut,na,neut,joy
1022,"Beauticians cut, curl, offer stroke-prevention info",other,present,neut,neut,na,joy
1023,"Siesta cuts risk of heart disease death, study finds",other,present,negative,negative,negative,surprise
1024,Thomas Cook to merge with MyTravel,other,na,neut,na,neut,joy
1025,Nap your way to a successful career,other,present,positive,neut,na,joy
1026,Village buried by 100 inches of snow,other,na,neut,na,neut,sadness
1027,Oprah announces new book club pick,other,na,neut,na,neut,joy
1028,The science of love ... and lust,other,na,positive,na,na,joy
1029,"Northeaster cancels flights, shuts schools",other,present,neut,neut,neut,sadness
1030,Napping may be good for your heart,other,na,positive,na,na,joy
1031,Ryan O'Neal injured son's girlfriend,other,past,negative,neut,negative,sadness
1032,Chrysler's Valentine's Day massacre,other,na,negative,na,na,sadness
1033,Madrid bombings trial begins,other,na,neut,na,neut,fear
1034,Fight starts over HPV vaccine,other,present,neut,neut,na,disgust
1035,Autos drive European gains,other,present,positive,positive,positive,joy
1036,James Brown's partner can get her things,other,present,neut,neut,neut,joy
1037,Auto show canceled,other,na,neut,na,neut,sadness
1038,UK luxury maker Burberry: 'Made in China'?,other,na,positive,na,na,surprise
1039,On-the-job naps might cut heart risk,other,present,negative,negative,negative,joy
1040,"No. 1 Florida survives Rupp Arena, streak hits 16",other,na,neut,na,na,joy
1041,J.K. Rowling marks spot of 'Potter's' end,other,present,neut,neut,neut,sadness
1042,Gronholm takes a commanding lead,other,na,positive,na,neut,joy
1043,Howard slams Obama on Iraq policy,other,present,neut,neut,neut,anger
1044,Manila hints at ransom approval,other,na,positive,na,positive,sadness
1045,Champion Murray too good for Kim,other,na,positive,na,na,joy
1046,"G7: Yen skates by, yuan singled out",other,present,neut,neut,neut,sadness
1047,Gunman 'was Srebrenica survivor',other,na,positive,na,na,surprise
1048,Cutting through the clutter to get things done,other,present,neut,neut,na,joy
1049,Mother: Lohan is doing 'great' in rehab,other,na,neut,na,positive,joy
1050,Who's going to win at the Grammys?,other,na,positive,na,positive,joy
1051,"Libby defense upsets judge, rests",other,na,negative,na,na,surprise
1052,Breakup rings find new homes,other,present,neut,neut,neut,sadness
1053,Gronholm ahead as Solberg crashes,other,na,negative,na,na,joy
1054,'Norbit' a waste of Murphy,other,na,negative,na,na,sadness
1055,Rocky start for Bangkok airport,other,na,neut,na,neut,surprise
1056,12 dead in Lebanese minibus bombings,other,na,negative,na,na,sadness
1057,Sex torture claims hit Russia army,other,past,negative,neut,negative,disgust
1058,Mega-marsupials once roamed Australia,other,past,neut,neut,neut,surprise
1059,Rupert Murdoch's secret TiVo,other,na,neut,na,na,surprise
1060,"UPDATE 1-Plane crashes at Moscow airport, no passengers",other,present,negative,negative,neut,sadness
1061,HPV vaccination stirs heated debate in America,other,present,neut,neut,neut,surprise
1062,Court TV: Accused killer tells jury a love story,other,present,positive,positive,positive,surprise
1063,Whistle-blowing Web site exposed,other,na,neut,na,na,surprise
1064,"Start late, retire rich",other,na,positive,na,na,joy
1065,Somali PM vows to bring Islamists to justice,other,present,neut,neut,neut,anger
1066,Swingers more common than most think,other,na,neut,na,neut,surprise
1067,Anna Nicole Smith fans mourn in cyberspace,other,na,negative,na,na,sadness
1068,Antibiotic Ketek more dangerous than thought,other,na,negative,na,na,fear
1069,Time to book your cruise,other,na,neut,na,na,joy
1070,'Blazing Angels' for PS3 fails to soar,other,na,negative,na,negative,sadness
1071,North Korea aid demand stall talks,other,present,negative,neut,na,sadness
1072,Cartoon Network head steps down,other,present,neut,neut,neut,sadness
1073,Malaysia aggressively wooing tourists,other,present,positive,neut,na,joy
1074,Anna Nicole Smith's Bahamas home seized,other,na,neut,na,neut,sadness
1075,Andromeda involved in galactic collision,other,na,neut,na,neut,surprise
1076,Rwanda mulling 3-kid limit for families,other,present,negative,negative,na,joy
1077,Wilkinson sets record in tame win,other,present,positive,positive,positive,joy
1078,Army engineers say dam safe,other,na,positive,na,positive,joy
1079,France: Al Qaeda suspects arrested,other,na,negative,na,negative,fear
1080,Utah gunman survived Srebrenica,other,na,neut,na,na,joy
1081,Creating a whole album in a month?,other,present,neut,neut,na,surprise
1082,India to test new nuclear missile,other,present,neut,neut,na,fear
1083,G7 to China: Ease exchange rate grip,other,na,neut,na,na,surprise
1084,Hatton hands back IBF title again,other,present,neut,neut,neut,joy
1085,"Bernanke: Economy healthy, but...",other,na,positive,na,na,fear
1086,"Mickelson, Sutherland share lead",other,na,positive,na,na,joy
1087,"Napping is good for your heart, study finds",other,na,positive,na,neut,joy
1088,Princess Masako author: No regrets,other,na,negative,na,na,surprise
1089,Students use IM-lingo in essays,other,present,neut,neut,neut,surprise
1090,Malaysia launches tourism campaign,other,present,neut,neut,neut,joy
1091,Study: Africa's Internet gap getting wider,other,present,neut,neut,na,sadness
1092,Travel chaos as heavy snow hits UK,other,na,negative,na,na,fear
1093,Paula Abdul: 'I have never been drunk',self,na,negative,na,negative,surprise
1094,Salmonella outbreak traced to peanut butter,other,na,negative,na,neut,fear
1095,Putin: U.S. force fostering nuke ambitions,other,present,neut,neut,neut,fear
1096,"Nuke detectors to ring New York, official says",other,present,neut,neut,na,fear
1097,Double bus-bombing kills three in Lebanon,other,present,negative,neut,na,sadness
1098,Davydenko out as seeds scattered,other,na,neut,na,na,surprise
1099,Obama: I'm running for president,self,na,neut,na,neut,joy
1100,Paterson boots Scotland to victory,other,na,positive,na,na,joy
1101,"African-Americans are organ donors these days, but what about bone marrow?",other,present,neut,neut,neut,surprise
1102,Study: On-the-job naps might help heart,other,present,neut,neut,neut,joy
1103,"Guinea capital largely calm under curfew, marital law",other,na,positive,na,na,fear
1104,Bosses sleeping on idea of letting workers take naps,other,present,neut,neut,neut,surprise
1105,Teacher's porn conviction sparks tech debate,other,present,neut,neut,neut,disgust
1106,Singapore pampers its waterfront promenade,other,present,positive,neut,positive,joy
1107,Rwanda mulls three-child limit,other,present,negative,negative,negative,surprise
1108,Samsung settles price-fixing lawsuit,other,present,neut,neut,neut,joy
1109,"Radical cleric al-Sadr in Iran, U.S. insists",other,na,neut,na,neut,fear
1110,Reports: Harvard set to name first female president,other,present,neut,neut,na,joy
1111,Iraq unveils new security plans,other,present,neut,neut,neut,surprise
1112,University offers support to New Orleans school,other,present,positive,positive,positive,joy
1113,"Storm causes slick, icy roads",other,na,positive,na,na,fear
1114,South Korea fire kills 10 foreigners,other,present,negative,neut,negative,sadness
1115,Prehistoric lovers found locked in eternal embrace,other,na,positive,na,neut,surprise
1116,Charts: Is your city lean or lethargic?,other,na,positive,na,na,surprise
1117,Peru leader questioned in massacre probe,other,na,negative,na,negative,sadness
1118,U.S. commander: Iraq not hopeless,other,na,negative,na,na,joy
1119,Australian PM stands by Obama attack,other,na,negative,na,negative,joy
1120,Mardi Gras rebound in the offing for New Orleans?,other,na,neut,na,na,joy
1121,Siestas may cut heart disease risk,other,present,negative,negative,negative,joy
1122,"Oregon snorkeler mistaken for rodent, shot in face",other,na,negative,na,negative,sadness
1123,Petraeus takes command in Iraq,other,present,neut,neut,neut,fear
1124,6 dead after Utah Mall shooting rampage,other,present,negative,negative,na,sadness
1125,Sharks kill four people in 'dull' year,other,present,negative,negative,negative,sadness
1126,Record-shattering day on Wall St.,other,na,neut,na,na,joy
1127,Comedian says government silences critics,other,present,negative,negative,negative,sadness
1128,Rockers big winners at Brit Awards,other,na,positive,na,na,joy
1129,Samba school leader killed before Rio carnival,other,na,negative,na,negative,sadness
1130,"Taiwan's 'Mr. Clean' indicted, steps down",other,na,neut,na,neut,sadness
1131,Woman fights to keep drunken driver in jail,other,present,negative,negative,negative,anger
1132,Al Qaeda group calls for attacks on U.S. oil,other,na,negative,na,na,fear
1133,Cousin: Gunman was Srebrenica survivor,other,na,positive,na,na,sadness
1134,Turkmenistan votes for president,other,na,neut,na,na,joy
1135,Here is some advice to take to heart...,other,na,neut,na,neut,surprise
1136,10 don't-miss tax breaks,other,present,negative,negative,na,joy
1137,Police break up Kosovo protests,other,present,negative,negative,negative,anger
1138,Messi makes Barcelona squad return,other,present,neut,neut,neut,joy
1139,Jump reported in accidental drug-overdose deaths,other,na,negative,na,negative,sadness
1140,Catania punished for fan violence,other,na,negative,na,negative,sadness
1141,Isinbayeva sets 20th world record,other,present,neut,neut,neut,joy
1142,Lawmakers blast FDA drug safety oversight,other,na,negative,na,na,anger
1143,Regular naps make hearts healthy,other,na,positive,na,positive,joy
1144,Ice stops trolleys cold,other,na,negative,na,negative,sadness
1145,U.S. gunman 'was Srebrenica survivor',other,na,positive,na,na,surprise
1146,Outdated baby food found on shelves,other,na,neut,na,neut,disgust
1147,Tow truck drivers accused of stealing cars,other,present,negative,negative,na,disgust
1148,Bush: It's time for Congress to back energy plan,other,present,neut,neut,na,joy
1149,UK soldiers cleared of Iraq abuse,other,na,positive,na,positive,joy
1150,FDA revises label warnings on the antibiotic Ketek,other,present,negative,negative,negative,joy
1151,Toshiba Portege R400,other,na,neut,na,na,joy
1152,South Africa mourns Adelaide Tambo,other,na,negative,na,negative,sadness
1153,Evacuees can return home after plant blast,other,present,neut,neut,neut,joy
1154,Anna Nicole Smith's body lies in legal limbo,other,na,negative,na,negative,sadness
1155,Former teacher poses for Playboy,other,na,neut,na,neut,surprise
1156,France rejects Rwandan investigators,other,present,negative,neut,negative,anger
1157,A nap a day may keep the heart doctor away,other,present,neut,neut,neut,surprise
1158,"Higley, Gonzalez lead in Malaysia",other,na,positive,na,positive,joy
1159,Grammys ready to name winners,other,present,positive,positive,na,joy
1160,Pound will not drop Armstrong case,other,present,neut,neut,neut,anger
1161,Reunited Police to start world tour in May,other,present,neut,neut,neut,joy
1162,Turkmen acting leader sworn in as new president,other,na,neut,na,neut,joy
1163,Allen and Okur get All-Star call,other,present,neut,neut,neut,joy
1164,Svindal claims are golden double,other,na,positive,na,na,joy
1165,"Trolley Square shooting leaves 6 dead, including gunman",other,na,negative,na,negative,sadness
1166,Bridge blast stops I-95 traffic,other,present,neut,neut,neut,fear
1167,"Mother, daughter stabbed near school",other,na,negative,na,na,sadness
1168,Excerpt: Politicians and the press,other,na,neut,na,na,disgust
1169,North Korea gets 'money and respect',other,present,positive,positive,positive,joy
1170,Beyonce in a bikini as SI's swimsuit cover model,other,na,neut,na,na,joy
1171,Loving with all your ... brain,other,na,neut,na,na,surprise
1172,Shoplifters' choice: Police or T-shirt of shame,other,na,negative,na,na,surprise
1173,Cuban official: Web a 'wild colt',other,na,neut,na,na,fear
1174,Slow 'Music and Lyrics',other,present,neut,neut,na,joy
1175,Mexican navy helps in hunt for U.S. engineer,other,na,neut,na,neut,joy
1176,Smith baby may not be pot of gold,other,na,positive,na,na,sadness
1177,Latest updates on world's top stories,other,na,positive,na,na,fear
1178,Beating leaves teen in coma,other,na,neut,na,neut,sadness
1179,Tiempo Libre has Grammy dreams,other,present,neut,neut,neut,joy
1180,GPS sneakers locate with press of a button,other,na,neut,na,neut,surprise
1181,Embattled Edwards blogger quits campaign,other,present,neut,neut,neut,sadness
1182,Britons deported from Somalia held under Terrorism Act,other,na,neut,na,neut,fear
1183,Updates on world's top stories,other,na,positive,na,na,fear
1184,Breast cancer drug promises hope,other,na,positive,na,neut,joy
1185,Ancient coin shows Cleopatra was no beauty,other,na,positive,na,positive,surprise
1186,YouTube yields surprising payback,other,present,negative,negative,negative,surprise
1187,Up to 22 inches of snow in forecast,other,na,neut,na,na,surprise
1188,Werder make 10-man Ajax pay price,other,present,neut,neut,neut,joy
1189,EU condemns 'illegal' CIA flights,other,present,negative,negative,negative,anger
1190,Report links humans to global warming,other,present,neut,neut,neut,fear
1191,UN nuclear watchdog slashes Iran aid,other,na,neut,na,na,anger
1192,Survey: Tech a tool in teen dating abuse,other,na,negative,na,na,sadness
1193,The breast cancer breakthrough saving 1000 women a year,other,na,positive,na,na,joy
1194,"Tourist spot resists gravity, but not progress",other,na,positive,na,na,sadness
1195,The NFL's 20 biggest potential free agents,other,na,positive,na,na,joy
1196,World tourism sets record in 2006,other,present,neut,neut,neut,joy
1197,BA to charge $470 for an extra bag,other,present,neut,neut,na,surprise
1198,Kuerten returns to winners' circle,other,present,positive,neut,na,joy
1199,World's oldest newspaper now exists only online,other,present,neut,neut,neut,surprise
1200,Japanese whaler afire in Antarctic,other,na,neut,na,na,sadness
1201,EU document: Iranian bomb unstoppable,other,na,negative,na,na,fear
1202,U.S. urged to lead on 'green' actions,other,na,positive,na,positive,joy
1203,See if your city is one of the United States' top 10 fittest or fattest,other,na,positive,na,na,surprise
1204,Lee in pre-World Cup injury scare,other,na,negative,na,na,fear
1205,New cancer drug to save a thousand lives a year,other,present,negative,neut,na,joy
1206,Ex-teacher guilty in nude-pictures scheme,other,na,negative,na,na,disgust
1207,Fire extinguisher part of Tennessee execution kit,other,na,neut,na,na,surprise
1208,Founder returns to Dell helm,other,present,neut,neut,na,joy
1209,Charles Gibson takes over first place,other,na,neut,na,neut,joy
1210,Ex-Border Patrol agent beaten in prison,other,na,negative,na,negative,sadness
1211,'Made in China' irks some Burberry shoppers,other,present,negative,neut,negative,anger
1212,Stonehenge workers' village found,other,na,neut,na,neut,surprise
